epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,333.694,0.69009,0.49853,1.02905,0.99433,0.66667,0.66333,0.60327,0.51388,0.38134,0.97155,0.00127338,0.00127338,0.00127338
112,336.757,0.66681,0.48251,1.02058,0.99324,0.66667,0.66333,0.59842,0.49849,0.30081,0.95347,0.00127197,0.00127197,0.00127197
113,339.712,0.64086,0.46344,0.99936,0.99499,0.66667,0.66333,0.61477,0.45426,0.30677,0.93971,0.00127055,0.00127055,0.00127055
114,342.737,0.60703,0.43162,0.98634,0.99446,0.66667,0.66333,0.61321,0.46975,0.40986,0.94999,0.00126914,0.00126914,0.00126914
115,345.689,0.62356,0.4698,1.00036,0.99421,0.66667,0.66333,0.59524,0.5383,0.44157,0.974,0.00126772,0.00126772,0.00126772
116,349.041,0.63414,0.48104,1.01059,0.99532,0.66667,0.66333,0.60882,0.51576,0.34283,0.96901,0.00126631,0.00126631,0.00126631
117,352.371,0.64676,0.48033,0.98782,0.99514,0.66667,0.66333,0.61025,0.46868,0.29943,0.94915,0.00126489,0.00126489,0.00126489
118,355.783,0.67808,0.47889,1.00272,0.99408,0.66667,0.66333,0.59571,0.54289,0.33051,0.98841,0.00126348,0.00126348,0.00126348
119,359.107,0.62964,0.47016,1.00332,0.99481,0.66667,0.66333,0.60411,0.48053,0.42451,0.96638,0.00126206,0.00126206,0.00126206
120,362.64,0.61551,0.4829,0.98698,0.99549,0.66667,0.66333,0.60216,0.48978,0.30114,0.95849,0.00126065,0.00126065,0.00126065
121,366.095,0.61015,0.47627,0.97659,0.99503,0.66667,0.66333,0.59413,0.50999,0.29493,0.97007,0.00125923,0.00125923,0.00125923
122,369.372,0.66334,0.50161,1.03852,0.9938,0.66667,0.66333,0.61043,0.49132,0.3138,0.95777,0.00125782,0.00125782,0.00125782
123,372.611,0.64585,0.476,1.00796,0.9947,0.66667,0.66333,0.60288,0.51457,0.34612,0.96099,0.00125641,0.00125641,0.00125641
124,375.884,0.61572,0.46407,0.98368,0.99563,0.66667,0.66333,0.61451,0.47446,0.28626,0.94985,0.00125499,0.00125499,0.00125499
125,378.969,0.60294,0.4469,0.97527,0.9935,0.66667,0.66333,0.60893,0.46216,0.31698,0.93549,0.00125358,0.00125358,0.00125358
126,382.279,0.64682,0.48558,1.02262,0.97031,0.66667,0.66333,0.58004,0.51193,0.36465,0.9846,0.00125216,0.00125216,0.00125216
127,385.511,0.66649,0.46914,1.00986,0.99567,0.66667,0.66333,0.57916,0.5585,0.32094,0.98769,0.00125075,0.00125075,0.00125075
128,388.875,0.61654,0.44041,1.00786,0.66268,0.66667,0.66333,0.6028,0.53009,0.30559,0.97852,0.00124933,0.00124933,0.00124933
129,392.089,0.66726,0.47878,1.02805,0.99637,0.66667,0.66333,0.57961,0.62609,0.35046,1.02534,0.00124792,0.00124792,0.00124792
130,395.253,0.6277,0.43644,0.99449,0.99613,0.66667,0.66333,0.59993,0.51216,0.32329,0.96038,0.0012465,0.0012465,0.0012465
131,398.505,0.64876,0.45918,1.00158,0.99688,0.66667,0.66333,0.59344,0.54244,0.32106,0.97007,0.00124509,0.00124509,0.00124509
132,401.911,0.62047,0.43271,0.98168,0.99606,0.66667,0.66333,0.58613,0.52391,0.3101,0.98088,0.00124367,0.00124367,0.00124367
133,405.115,0.60725,0.43351,0.99109,0.99512,0.66667,0.66333,0.59191,0.51297,0.29797,0.96241,0.00124226,0.00124226,0.00124226
134,408.757,0.62635,0.43635,0.9839,0.99537,0.66667,0.66333,0.61645,0.46465,0.30333,0.93937,0.00124084,0.00124084,0.00124084
135,412.046,0.61746,0.43734,1.013,0.99581,0.66667,0.66333,0.59889,0.45338,0.33046,0.93968,0.00123943,0.00123943,0.00123943
136,415.505,0.62854,0.43413,0.99456,0.9935,0.66667,0.66333,0.5967,0.49679,0.35958,0.94623,0.00123801,0.00123801,0.00123801
137,418.94,0.61552,0.43881,0.98525,0.99332,0.66667,0.66333,0.62212,0.44432,0.31946,0.92254,0.0012366,0.0012366,0.0012366
138,422.359,0.61383,0.41215,0.97619,0.99522,0.66667,0.66333,0.61938,0.4615,0.31398,0.93036,0.00123518,0.00123518,0.00123518
139,425.818,0.63241,0.44675,0.98931,0.99516,0.66667,0.66333,0.61315,0.47494,0.28711,0.94168,0.00123377,0.00123377,0.00123377
140,429.237,0.62546,0.44034,1.00113,0.99324,0.66667,0.66333,0.60399,0.49267,0.30359,0.95192,0.00123236,0.00123236,0.00123236
141,432.493,0.61183,0.44203,0.98192,0.99305,0.66667,0.66333,0.61994,0.47641,0.34198,0.95593,0.00123094,0.00123094,0.00123094
142,435.983,0.60405,0.44198,0.99003,0.99346,0.66667,0.66333,0.61372,0.44445,0.42636,0.94136,0.00122953,0.00122953,0.00122953
143,439.217,0.60251,0.4402,0.98889,0.99432,0.66667,0.66333,0.61499,0.46899,0.29699,0.94893,0.00122811,0.00122811,0.00122811
144,442.493,0.60294,0.41723,0.96735,0.99534,0.66667,0.66333,0.61829,0.44772,0.32147,0.92947,0.0012267,0.0012267,0.0012267
145,445.86,0.61951,0.43704,1.00807,0.99373,0.66667,0.66333,0.61918,0.45069,0.29279,0.93182,0.00122528,0.00122528,0.00122528
146,449.037,0.59832,0.45224,0.98431,0.99424,0.66667,0.66333,0.60016,0.49934,0.30745,0.95098,0.00122387,0.00122387,0.00122387
147,452.355,0.61683,0.44455,1.00798,0.99455,0.66667,0.66333,0.60827,0.47921,0.28543,0.93919,0.00122245,0.00122245,0.00122245
148,455.736,0.6038,0.45619,0.99127,0.99378,0.66667,0.66333,0.61927,0.45541,0.33056,0.93207,0.00122104,0.00122104,0.00122104
149,459.067,0.64502,0.47024,1.03717,0.99297,0.66667,0.66333,0.60929,0.46164,0.35046,0.92673,0.00121962,0.00121962,0.00121962
150,462.561,0.56956,0.41294,0.95303,0.99608,0.66667,0.66333,0.60674,0.48177,0.31821,0.93801,0.00121821,0.00121821,0.00121821
151,466.039,0.62376,0.45367,0.97823,0.99616,0.66667,0.66333,0.60906,0.45072,0.28472,0.93157,0.00121679,0.00121679,0.00121679
152,469.183,0.61521,0.4315,0.99983,0.99588,0.66667,0.66333,0.60681,0.48769,0.30566,0.95529,0.00121538,0.00121538,0.00121538
153,472.607,0.61571,0.43997,1.00579,0.99547,0.66667,0.66333,0.60835,0.45901,0.31965,0.93097,0.00121396,0.00121396,0.00121396
154,476.308,0.60984,0.4199,1.00019,0.99591,0.66667,0.66333,0.61243,0.45438,0.31266,0.92201,0.00121255,0.00121255,0.00121255
155,479.677,0.5788,0.4028,0.98043,0.99519,0.66667,0.66333,0.62194,0.46978,0.30818,0.93977,0.00121113,0.00121113,0.00121113
156,482.971,0.60165,0.41644,0.97228,0.99331,0.66667,0.66333,0.60533,0.47317,0.28724,0.9478,0.00120972,0.00120972,0.00120972
157,486.608,0.58073,0.39627,0.96785,0.99517,0.66667,0.66333,0.60111,0.48523,0.29766,0.94814,0.00120831,0.00120831,0.00120831
158,490.184,0.59571,0.44917,1.00249,0.99493,0.66667,0.66333,0.60439,0.48128,0.31373,0.94546,0.00120689,0.00120689,0.00120689
159,493.348,0.63587,0.44706,1.00244,0.99411,0.66667,0.66333,0.60343,0.48282,0.29584,0.95889,0.00120548,0.00120548,0.00120548
160,496.799,0.61442,0.43539,1.00624,0.99178,0.66667,0.66333,0.60341,0.51225,0.37363,0.96517,0.00120406,0.00120406,0.00120406
161,500.111,0.58835,0.42166,0.98043,0.99136,0.66667,0.66333,0.61792,0.43244,0.37474,0.92591,0.00120265,0.00120265,0.00120265
162,503.494,0.58673,0.41916,0.97138,0.98904,0.66667,0.66333,0.61463,0.49893,0.39593,0.94858,0.00120123,0.00120123,0.00120123
163,506.543,0.59635,0.42514,0.96819,0.99411,0.66667,0.66333,0.61146,0.45999,0.34953,0.93263,0.00119982,0.00119982,0.00119982
164,510.037,0.60229,0.413,0.97624,0.99557,0.66667,0.66333,0.60352,0.48981,0.28641,0.93842,0.0011984,0.0011984,0.0011984
165,513.112,0.56663,0.42328,0.9658,0.99561,0.66667,0.66333,0.60862,0.49274,0.30934,0.9468,0.00119699,0.00119699,0.00119699
166,516.329,0.60394,0.41909,0.97944,0.99533,0.66667,0.66333,0.6091,0.45249,0.3045,0.92094,0.00119557,0.00119557,0.00119557
167,519.447,0.57326,0.41856,0.98646,0.99542,0.66667,0.66333,0.60197,0.48947,0.30533,0.93499,0.00119416,0.00119416,0.00119416
168,522.785,0.58274,0.4232,0.97349,0.99557,0.66667,0.66333,0.60964,0.46529,0.28734,0.93137,0.00119274,0.00119274,0.00119274
169,526.043,0.58677,0.42069,0.97964,0.99469,0.66667,0.66333,0.59949,0.51265,0.30789,0.95197,0.00119133,0.00119133,0.00119133
170,529.176,0.57487,0.40973,0.97787,0.99478,0.66667,0.66333,0.61736,0.48124,0.30715,0.94334,0.00118991,0.00118991,0.00118991
171,532.279,0.63335,0.43545,0.97671,0.99542,0.66667,0.66333,0.60743,0.47149,0.29727,0.94993,0.0011885,0.0011885,0.0011885
172,535.364,0.59785,0.41194,0.98944,0.99613,0.66667,0.66333,0.60469,0.49732,0.32294,0.95609,0.00118708,0.00118708,0.00118708
173,538.527,0.5657,0.42879,0.9758,0.99617,0.66667,0.66333,0.60605,0.46624,0.30318,0.94906,0.00118567,0.00118567,0.00118567
174,541.597,0.62037,0.45176,1.0023,0.99311,0.66667,0.66333,0.61816,0.45571,0.28105,0.93884,0.00118426,0.00118426,0.00118426
